Image Base,Completed Jobs,Avg Len (s),P90 Len (s),Max Len (s),Avg CPU (m),Max CPU (m),Avg RAM (MiB),Max RAM (MiB)
django__django-13821,9,986.8,1177.0,1177.0,50.2,987,210.3,341.0
django__django-12039,13,695.9,899.4,967.0,61.3,704,208.8,340.0
django__django-15695,6,832.7,973.5,1050.0,51.4,530,202.1,340.0
django__django-11206,8,893.0,1169.3,1177.0,51.9,1104,194.0,339.0
matplotlib__matplotlib-26342,10,1135.2,1315.2,1407.0,53.4,898,186.4,339.0
django__django-13343,12,772.4,899.6,920.0,54.6,668,216.3,339.0
django__django-16560,5,1529.8,1764.8,1838.0,30.5,754,187.2,339.0
django__django-13809,9,855.4,1009.2,1022.0,53.0,724,204.8,339.0
django__django-14999,6,1136.3,1277.5,1313.0,33.8,869,217.3,338.0
django__django-12155,7,736.3,900.6,918.0,67.1,698,209.5,337.0
matplotlib__matplotlib-25122,13,866.8,1193.4,1233.0,64.9,893,182.8,337.0
django__django-13417,11,1265.0,1527.0,1556.0,40.8,688,185.0,337.0
django__django-15467,6,794.0,937.0,1072.0,53.0,552,207.7,337.0
matplotlib__matplotlib-24970,3,975.3,1148.6,1185.0,65.9,811,180.0,335.0
django__django-15851,19,756.6,929.0,982.0,47.7,734,209.0,335.0
django__django-15987,4,1131.2,1367.3,1475.0,40.2,766,209.6,333.0
matplotlib__matplotlib-25287,5,988.4,1083.6,1124.0,53.1,582,192.3,333.0
django__django-12774,6,859.7,1010.0,1026.0,34.6,1131,180.7,331.0
django__django-17029,12,656.3,775.8,803.0,58.4,773,216.1,331.0
django__django-15814,8,1196.9,1397.1,1430.0,35.2,531,213.5,331.0
django__django-14855,0,0.0,0.0,0.0,8.5,823,122.1,329.0
django__django-11066,8,781.0,901.6,987.0,54.2,448,222.7,329.0
django__django-13406,6,1418.2,1584.5,1592.0,34.4,713,172.7,328.0
django__django-11951,9,771.0,966.8,974.0,59.7,623,197.3,327.0
django__django-11999,7,672.3,740.4,762.0,53.8,663,230.5,326.0
django__django-13121,6,899.2,1055.5,1148.0,51.6,936,198.6,325.0
django__django-15572,0,0.0,0.0,0.0,12.3,342,99.2,324.0
matplotlib__matplotlib-25479,3,994.3,1163.8,1213.0,52.5,516,190.7,318.0
sympy__sympy-18763,9,917.8,1176.0,1228.0,42.2,731,139.5,273.0
sympy__sympy-22714,10,1016.8,1172.6,1250.0,40.2,676,135.3,271.0
sympy__sympy-13852,11,944.8,1156.0,1398.0,48.5,984,139.2,271.0
sympy__sympy-20590,17,696.2,867.6,1112.0,58.5,978,147.6,270.0
sympy__sympy-16792,11,966.0,1143.0,1390.0,53.9,521,147.0,269.0
sympy__sympy-20916,8,875.5,998.8,1115.0,49.5,658,143.8,268.0
sympy__sympy-17139,9,956.3,1091.6,1246.0,40.1,598,146.0,268.0
sympy__sympy-13551,8,960.0,1082.1,1101.0,36.0,648,143.7,267.0
sympy__sympy-24661,11,995.0,1149.0,1181.0,43.3,1276,146.6,266.0
sympy__sympy-13615,10,742.8,861.8,932.0,56.8,722,153.7,266.0
sympy__sympy-12419,0,0.0,0.0,0.0,10.3,661,81.9,265.0
sympy__sympy-13974,9,952.4,1216.0,1264.0,32.6,669,143.1,264.0
sympy__sympy-23262,8,884.0,1131.6,1147.0,40.5,698,157.9,264.0
sympy__sympy-11618,14,1032.9,1284.2,1297.0,48.5,847,137.8,263.0
sympy__sympy-17318,13,893.5,1174.6,1371.0,41.0,590,143.0,263.0
sympy__sympy-19495,7,833.1,991.8,1203.0,58.0,646,145.8,263.0
sympy__sympy-23413,8,955.6,1153.7,1223.0,56.7,1082,148.7,262.0
sympy__sympy-14976,10,771.6,905.8,1120.0,54.1,1207,144.4,261.0
sympy__sympy-15976,0,0.0,0.0,0.0,8.3,659,79.8,261.0
sympy__sympy-22080,14,1370.5,1519.4,1590.0,26.1,695,120.1,260.0
sympy__sympy-13091,5,1842.8,2154.2,2225.0,27.3,637,118.0,260.0
sympy__sympy-15017,9,989.4,1207.6,1322.0,41.8,875,137.8,259.0
sympy__sympy-15349,13,602.2,746.4,824.0,59.7,705,150.1,259.0
sympy__sympy-21847,15,807.5,998.8,1042.0,52.3,944,146.7,259.0
sympy__sympy-24443,14,815.6,1071.5,1116.0,44.5,769,144.6,259.0
sympy__sympy-16886,12,703.6,970.9,986.0,63.6,958,138.0,258.0
sympy__sympy-14248,5,2090.4,2337.2,2378.0,22.6,753,113.8,258.0
sympy__sympy-16450,10,1232.7,1439.6,1508.0,32.5,921,132.1,258.0
sympy__sympy-19783,8,1030.9,1149.5,1188.0,33.8,444,141.4,258.0
sympy__sympy-12489,11,1676.8,1962.0,2006.0,25.6,785,117.8,257.0
sympy__sympy-15345,8,787.5,911.8,993.0,52.0,809,148.4,257.0
sympy__sympy-24066,11,751.5,998.0,1059.0,60.7,2140,140.3,257.0
sympy__sympy-20154,0,0.0,0.0,0.0,7.9,433,75.5,254.0
sympy__sympy-24539,8,725.6,840.3,883.0,51.8,612,141.2,254.0
sympy__sympy-17655,5,1211.2,1451.4,1497.0,33.9,404,131.9,254.0
sympy__sympy-15599,7,865.3,1018.6,1027.0,43.5,711,138.9,253.0
sympy__sympy-12481,12,927.6,1089.4,1095.0,41.6,778,137.4,252.0
sympy__sympy-21379,4,870.5,1104.5,1154.0,25.3,288,141.9,252.0
sympy__sympy-13878,9,1156.0,1424.6,1539.0,38.2,958,128.1,251.0
sympy__sympy-16597,10,2013.5,2245.3,2257.0,26.5,1330,110.3,251.0
sympy__sympy-13757,12,818.1,1036.8,1102.0,46.0,839,139.2,250.0
sympy__sympy-14711,8,975.1,1137.0,1277.0,36.5,512,131.5,249.0
sympy__sympy-14531,13,1086.0,1360.0,1444.0,36.2,864,132.4,248.0
sympy__sympy-15809,8,704.6,893.2,966.0,58.5,738,141.3,247.0
sympy__sympy-13798,4,614.2,645.4,652.0,85.6,511,148.5,245.0
sympy__sympy-22914,10,872.0,1084.4,1124.0,47.5,689,149.1,243.0
sympy__sympy-24213,7,744.0,936.0,1026.0,57.5,843,144.2,241.0
mwaskom__seaborn-3187,9,1233.1,1412.6,1487.0,21.8,227,75.6,224.0
mwaskom__seaborn-3069,3,1374.7,1466.6,1499.0,18.4,255,75.5,217.0
pydata__xarray-7229,10,1508.0,1900.6,1942.0,24.0,730,70.4,195.0
pydata__xarray-6938,11,1074.4,1198.0,1274.0,31.4,514,81.8,194.0
pydata__xarray-6744,9,1084.2,1351.6,1458.0,29.9,603,84.3,194.0
pydata__xarray-3677,14,899.2,1034.3,1270.0,33.2,383,86.6,193.0
pydata__xarray-4695,10,1097.0,1304.0,1601.0,25.7,454,78.7,193.0
pydata__xarray-3095,8,697.4,793.2,824.0,47.5,1087,85.2,193.0
pydata__xarray-4356,6,1351.7,1506.5,1541.0,22.8,360,82.3,193.0
pydata__xarray-6599,13,1038.0,1230.4,1333.0,29.6,673,79.4,192.0
pydata__xarray-4094,9,942.3,1217.2,1262.0,34.9,565,84.5,192.0
pydata__xarray-3993,10,761.5,872.8,889.0,38.6,525,101.2,191.0
pydata__xarray-3305,11,1131.5,1315.0,1365.0,28.0,471,81.0,191.0
pydata__xarray-4966,13,830.3,1013.6,1083.0,38.9,521,94.1,191.0
pydata__xarray-6992,13,850.2,1036.4,1170.0,36.6,400,84.2,191.0
pydata__xarray-4075,9,811.2,966.0,1066.0,40.5,473,98.0,190.0
pydata__xarray-3151,11,693.5,906.0,987.0,43.8,412,100.9,190.0
pydata__xarray-6721,0,0.0,0.0,0.0,7.5,379,44.0,190.0
pydata__xarray-7393,17,929.6,1170.6,1262.0,32.9,1176,79.5,190.0
pydata__xarray-4629,9,872.6,1208.8,1400.0,42.4,419,83.2,189.0
pydata__xarray-7233,7,968.4,1093.4,1148.0,33.5,468,84.3,188.0
sphinx-doc__sphinx-7454,6,1142.5,1279.0,1302.0,41.0,1359,102.1,185.0
sphinx-doc__sphinx-8265,9,1218.9,1420.0,1444.0,36.6,1402,97.1,183.0
sphinx-doc__sphinx-10323,0,0.0,0.0,0.0,7.4,1051,52.4,178.0
sphinx-doc__sphinx-10673,10,1134.4,1295.3,1352.0,35.7,509,102.7,178.0
sphinx-doc__sphinx-9367,12,663.3,963.0,1039.0,42.3,885,94.4,174.0
sphinx-doc__sphinx-10435,12,883.2,1019.4,1167.0,27.7,561,86.9,174.0
sphinx-doc__sphinx-7889,16,1291.7,1501.0,1595.0,22.3,1188,75.9,174.0
sphinx-doc__sphinx-7748,10,1325.7,1582.0,1672.0,22.5,530,87.0,174.0
sphinx-doc__sphinx-7910,7,770.6,877.0,931.0,36.6,611,94.9,173.0
sphinx-doc__sphinx-9258,15,909.9,1094.6,1171.0,30.6,582,83.0,173.0
sphinx-doc__sphinx-8269,9,657.8,790.8,1018.0,65.3,1384,92.8,171.0
sphinx-doc__sphinx-8459,13,1082.5,1332.8,1380.0,22.6,508,83.9,171.0
sphinx-doc__sphinx-9602,9,1208.4,1447.8,1499.0,21.8,711,81.1,170.0
sphinx-doc__sphinx-8551,9,875.6,1176.4,1306.0,33.2,1618,82.7,170.0
sphinx-doc__sphinx-9591,0,0.0,0.0,0.0,8.1,528,53.1,170.0
sphinx-doc__sphinx-7440,12,864.9,1014.3,1096.0,31.6,630,84.2,168.0
sphinx-doc__sphinx-7757,5,621.0,680.8,686.0,30.7,499,86.8,167.0
sphinx-doc__sphinx-7985,10,849.9,1015.5,1056.0,28.5,559,83.4,166.0
sphinx-doc__sphinx-9281,12,1111.0,1249.6,1299.0,26.7,627,82.0,166.0
sphinx-doc__sphinx-7590,10,951.7,1209.9,1335.0,28.8,1430,79.5,165.0
sphinx-doc__sphinx-9229,4,3264.2,3329.1,3330.0,10.3,402,75.9,165.0
sphinx-doc__sphinx-9461,0,0.0,0.0,0.0,6.1,598,50.0,165.0
sphinx-doc__sphinx-8548,10,1323.3,1471.3,1519.0,19.9,845,77.7,164.0
sphinx-doc__sphinx-11445,6,875.8,1010.5,1029.0,38.9,477,82.7,164.0
sphinx-doc__sphinx-7462,14,795.4,953.5,1052.0,33.5,785,89.2,163.0
sphinx-doc__sphinx-8638,17,1093.8,1253.2,1470.0,24.7,1079,75.5,163.0
pylint-dev__pylint-8898,10,1181.8,1501.1,1592.0,18.6,308,77.0,163.0
pylint-dev__pylint-4551,9,1284.0,1586.6,1617.0,19.7,290,64.3,161.0
sphinx-doc__sphinx-9230,4,762.0,859.6,880.0,16.8,511,87.0,160.0
pylint-dev__pylint-4604,11,983.5,1101.0,1183.0,18.1,363,61.5,160.0
sphinx-doc__sphinx-8621,9,556.7,641.8,649.0,43.9,600,87.5,160.0
pytest-dev__pytest-5631,7,779.3,893.2,916.0,28.5,326,80.4,160.0
sphinx-doc__sphinx-8056,9,1187.8,1315.2,1404.0,23.0,476,78.2,159.0
